,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
55,"[(44142, 2), (44147, 1), (44149, 1), (44149, 5), (44153, 1)]",44142,5,ra,"[44142, 44147, 44149, 44149, 44153]",", onde a tape[ra].

 Da bei[ra] do u[ra]ricoe[ra]?
— pi[rá]- uauau.",34558
56,"[(44233, 2), (44236, 1), (44238, 1), (44238, 5)]",44233,4,ra,"[44233, 44236, 44238, 44238]"," vamos- se embo[ra]
 Pra bei[ra] do u[ra]ricoe[ra]!
—",34622
57,"[(44403, 0), (44406, 0), (44408, 0), (44409, 0), (44410, 0), (44411, 0), (44412, 0), (44414, 1)]",44403,8,a,"[44403, 44406, 44408, 44409, 44410, 44411, 44412, 44414]","- curau o [a]juru- curica [a]rari
 [a]rarica [a]raraúna [a]raraí [a]raguaí [a]rara- tau[a] maracana maitaca ararapiranga",34757
58,"[(44406, 1), (44408, 1), (44409, 1), (44409, 2), (44410, 1), (44410, 2), (44411, 1), (44412, 1), (44412, 2), (44415, 1), (44417, 1), (44417, 2)]",44406,12,ra,"[44406, 44408, 44409, 44409, 44410, 44410, 44411, 44412, 44412, 44415, 44417, 44417]"," ajuru- curica a[ra]ri
 a[ra]rica a[ra][ra]úna a[ra][ra]í a[ra]guaí a[ra][ra]- taua ma[ra]cana maitaca a[ra][ra]piranga catorra teriba camiranga",34759
59,"[(44416, 2), (44418, 0), (44420, 0), (44421, 2), (44423, 0)]",44416,5,ka,"[44416, 44418, 44420, 44421, 44423]","- taua maracana maita[ca] ararapiranga [ca]torra teriba [ca]miranga ana[ca] anapura [ca]nindés tuins
 periquitos",34767
60,"[(44620, 0), (44620, 2), (44621, 0), (44623, 0), (44623, 2), (44626, 0), (44626, 2), (44627, 0), (44629, 0), (44629, 2), (44632, 0), (44632, 1), (44634, 0), (44636, 1)]",44620,14,pa,"[44620, 44620, 44621, 44623, 44623, 44626, 44626, 44627, 44629, 44629, 44632, 44632, 44634, 44636]"," assim:
 [pa]na[pa]ná [pá]- [pa]na[pa]ná,
 [pa]na[pa]ná [pá]- [pa]na[pa]nema:
 [pa][pa] de [pa]po na po[pa],
—",34935
61,"[(44620, 1), (44620, 3), (44623, 1), (44623, 3), (44626, 1), (44626, 3), (44629, 1)]",44620,7,na,"[44620, 44620, 44623, 44623, 44626, 44626, 44629]"," assim:
 pa[na]pa[ná] pá- pa[na]pa[ná],
 pa[na]pa[ná] pá- pa[na]panema:
 Papa",34935
62,"[(45918, 1), (45920, 0), (45922, 0), (45924, 0), (45926, 0)]",45918,5,ku,"[45918, 45920, 45922, 45924, 45926]"," Vim buscar minha pa[cu]era- [cu]era- [cu]era- [cu]era- [cu]era, de-",35909
63,"[(45918, 2), (45920, 1), (45922, 1), (45924, 1), (45926, 1)]",45918,5,e,"[45918, 45920, 45922, 45924, 45926]"," Vim buscar minha pacu[e]ra- cu[e]ra- cu[e]ra- cu[e]ra- cu[e]ra, de-",35909
64,"[(45918, 3), (45920, 2), (45922, 2), (45924, 2), (45926, 2)]",45918,5,ra,"[45918, 45920, 45922, 45924, 45926]"," Vim buscar minha pacue[ra]- cue[ra]- cue[ra]- cue[ra]- cue[ra], de-",35909
65,"[(45972, 1), (45974, 0), (45976, 0), (45978, 0), (45979, 0)]",45972,5,ku,"[45972, 45974, 45976, 45978, 45979]"," Vim buscar minha pa[cu]era- [cu]era- [cu]era- [cu]era [cu]era, de-",35947
66,"[(45972, 2), (45974, 1), (45976, 1), (45978, 1), (45979, 1)]",45972,5,e,"[45972, 45974, 45976, 45978, 45979]"," Vim buscar minha pacu[e]ra- cu[e]ra- cu[e]ra- cu[e]ra cu[e]ra, de-",35947
67,"[(45972, 3), (45974, 2), (45976, 2), (45978, 2), (45979, 2)]",45972,5,ra,"[45972, 45974, 45976, 45978, 45979]"," Vim buscar minha pacue[ra]- cue[ra]- cue[ra]- cue[ra] cue[ra], de-",35947
68,"[(46762, 1), (46764, 0), (46766, 0), (46768, 0), (46770, 0)]",46762,5,ku,"[46762, 46764, 46766, 46768, 46770]"," Vim buscar minha pa[cu]era- [cu]era- [cu]era- [cu]era- [cu]era, de-",36579
69,"[(46762, 2), (46764, 1), (46766, 1), (46768, 1), (46770, 1)]",46762,5,e,"[46762, 46764, 46766, 46768, 46770]"," Vim buscar minha pacu[e]ra- cu[e]ra- cu[e]ra- cu[e]ra- cu[e]ra, de-",36579
70,"[(46762, 3), (46764, 2), (46766, 2), (46768, 2), (46770, 2)]",46762,5,ra,"[46762, 46764, 46766, 46768, 46770]"," Vim buscar minha pacue[ra]- cue[ra]- cue[ra]- cue[ra]- cue[ra], de-",36579
71,"[(48051, 1), (48052, 1), (48056, 1), (48057, 3)]",48051,4,ma,"[48051, 48052, 48056, 48057]"," deu bem da mes[ma] for[ma].
 Passava u[ma] pirace[ma] de jaraquis.",37603
72,"[(48063, 2), (48066, 3), (48067, 3), (48068, 1)]",48063,4,du,"[48063, 48066, 48067, 48068]",". Macunaíma agarrou pescan[do] e
 distraí[do] distraí[do] quan[do] viu estava em",37612
73,"[(48443, 0), (48445, 0), (48447, 0), (48449, 0)]",48443,4,vej,"[48443, 48445, 48447, 48449]"," peixe,
 [vei]o pirandira [vei]o pacu [vei]o cascudo [vei]o bagre jundiá tucunaré",37908
74,"[(48443, 1), (48445, 1), (48447, 1), (48449, 1)]",48443,4,u,"[48443, 48445, 48447, 48449]"," peixe,
 vei[o] pirandira vei[o] pacu vei[o] cascudo vei[o] bagre jundiá tucunaré",37908
75,"[(48549, 1), (48551, 1), (48553, 1), (48554, 2)]",48549,4,u,"[48549, 48551, 48553, 48554]","
 peixes, vei[o] acará vei[o] piracanjuba vei[o] avi[ú] guri- juba",37995
76,"[(48953, 0), (48954, 0), (48958, 0), (48959, 0), (48963, 0), (48964, 0), (48968, 0), (48969, 0), (48973, 0), (48974, 0)]",48953,10,vo,"[48953, 48954, 48958, 48959, 48963, 48964, 48968, 48969, 48973, 48974]"," assim:
 [vo]te [vo]te coandu!
 [vo]te [vo]te cuati!
 [vo]te [vo]te taiçu!
 [vo]te [vo]te pacari!
 [vo]te [vo]te canguçu!
",38282
77,"[(48953, 1), (48954, 1), (48958, 1), (48959, 1), (48960, 2), (48963, 1), (48964, 1), (48968, 1), (48969, 1), (48973, 1), (48974, 1)]",48953,11,tSi,"[48953, 48954, 48958, 48959, 48960, 48963, 48964, 48968, 48969, 48973, 48974]"," assim:
 vo[te] vo[te] coandu!
 vo[te] vo[te] cua[ti]!
 vo[te] vo[te] taiçu!
 vo[te] vo[te] pacari!
 vo[te] vo[te] canguçu!
",38282
78,"[(49158, 0), (49161, 1), (49162, 0), (49166, 2)]",49158,4,a,"[49158, 49161, 49162, 49166]"," a onça pinima [a] papa- vi[a]do [a] jaguatirica,
 suçu[a]rana canguçu pixuna,",38440
79,"[(49166, 0), (49166, 1), (49167, 2), (49170, 1)]",49166,4,su,"[49166, 49166, 49167, 49170]"," jaguatirica,
 [su][çu]arana cangu[çu] pixuna, is[so] era uma imundície",38445
80,"[(50803, 1), (50803, 2), (50805, 1), (50805, 2)]",50803,4,ru,"[50803, 50803, 50805, 50805]"," marruá foi ficando ju[ru][ru] ficando ju[ru][ru]
 magruço e",39754
