palavra,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
Taine,0,0,0,0,0,0,0,0
sobre,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
narrador,0,0,0,0,0,0,0,0
sincero,0,0,0,0,0,0,0,1
que,0,0,0,0,0,0,0,0
encara,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
História,0,0,0,0,0,0,0,0
como,0,0,0,0,0,0,0,0
ela,0,0,0,0,0,0,0,0
merece,1,1,0,0,0,0,0,1
:,0,0,0,0,0,0,0,0
il,0,0,0,0,0,0,0,0
s,0,0,0,0,0,0,0,0
’,0,0,0,0,0,0,0,0
irrite,0,0,0,0,0,0,0,0
contre,0,0,0,0,0,0,0,0
les,0,0,0,0,0,0,0,0
demi,0,0,0,0,0,0,0,0
vérités,0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
sont,0,0,0,0,0,0,0,0
des,0,0,0,0,0,0,0,0
demi,0,0,0,0,0,0,0,0
faussetés,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
contre,0,0,0,0,0,0,0,0
les,0,0,0,0,0,0,0,0
auteurs,0,0,0,0,0,0,0,0
qui,0,0,0,0,0,0,0,0
n,0,0,0,0,0,0,0,0
’,0,0,0,0,0,0,0,0
altèrent,0,0,0,0,0,0,0,0
ni,0,0,0,0,0,0,0,0
une,0,0,0,0,0,0,0,0
date,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
ni,0,0,0,0,0,0,0,0
une,0,0,0,0,0,0,0,0
généalogie,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
mais,0,0,0,0,0,0,0,0
dénaturent,0,0,0,0,0,0,0,0
les,0,0,0,0,0,0,0,0
sentiments,0,0,0,0,0,0,0,0
et,0,0,0,0,0,0,0,0
les,0,0,0,0,0,0,0,0
moeurs,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
qui,0,0,0,0,0,0,0,0
gardent,0,0,0,0,0,0,0,0
le,0,0,0,0,0,0,0,0
dessin,0,0,0,0,0,0,0,0
des,0,0,0,0,0,0,0,0
événements,0,0,0,0,0,0,0,0
et,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,0
changent,0,0,0,0,0,0,0,0
la,0,0,0,0,0,0,0,0
couleur,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
qui,0,0,0,0,0,0,0,0
copient,0,0,0,0,0,0,0,0
les,0,0,0,0,0,0,0,0
faits,0,0,0,0,0,0,0,0
et,0,0,0,0,0,0,0,0
défigurent,0,0,0,0,0,0,0,0
l'âme,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
il,0,0,0,0,0,0,0,0
veut,0,0,0,0,0,0,0,0
sentir,0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,0
barbare,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
parmi,0,0,0,0,0,0,0,0
les,0,0,0,0,0,0,0,0
barbares,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
et,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
parmi,0,0,0,0,0,0,0,0
les,0,0,0,0,0,0,0,0
anciens,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
en,0,0,0,0,0,0,0,0
ancien..,0,0,0,0,0,0,0,0
Euclides,0,0,0,0,0,0,0,0
da,0,0,0,0,0,0,0,0
Cunha,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
São,0,0,0,0,0,0,0,0
Paulo,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0
TERRA,0,0,0,0,0,0,0,0
I.,0,0,0,0,0,0,0,0
Preliminares,0,1,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0
entrada,0,0,0,0,0,0,0,0
do,0,0,0,0,0,0,0,0
sertão,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Terra,0,0,0,0,0,0,0,0
ignota,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Em,0,0,0,0,0,0,0,0
caminho,0,0,0,0,0,0,0,0
para,0,0,0,0,0,0,0,0
Monte,0,0,0,0,0,0,0,0
Santo,0,1,0,0,1,0,1,1
.,0,0,0,0,0,0,0,0
Primeiras,0,0,0,0,0,0,0,0
impressões,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Um,0,0,0,0,0,0,0,0
sonho,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
geólogo,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
II,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Golpe,1,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
vista,0,0,0,0,0,0,0,0
do,0,0,0,0,0,0,0,0
alto,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
Monte,0,0,0,0,0,0,0,0
Santo,0,1,0,0,1,0,1,1
.,0,0,0,0,0,0,0,0
Do,0,0,0,0,0,0,0,0
alto,0,0,0,0,0,0,0,0
